2nd_Engineer,2nd_Officer,3rd_Engineer,AVIT,Bosun,Captain,Chef,Chief_Engineer,Chief_Stew,Crew_Chef,Deckhand,ETO,Electrician,First_Officer,Head_Chef,Lead_Deckhand,Purser,SOUS/2nd_Chef
chief,first,chief,depend,yacht,top,interior,chief,purser,interior,deckhand,depend,depend,top,interior,yacht,purser,interior
engineer,officer,engineer,size,crew,hierarchy,department,engineer,tends,department,encompass,size,size,hierarchy,department,crew,tends,department
responsible,chief,responsible,yacht,position,superyacht,yacht,responsible,found,yacht,large,yacht,yacht,superyacht,yacht,position,found,yacht
engineering,mate,engineering,hire,bosun,crew,crew,engineering,large,crew,array,hire,hire,crew,crew,bosun,large,crew
department,right,department,separate,likely,position,job,department,yacht,job,duty,separate,separate,position,job,likely,yacht,job
importantly,hand,importantly,individual,experienced,onboard,head,importantly,large,head,responsibility,individual,individual,onboard,head,experienced,large,head
technical,man,technical,position,deckhand,captain,chef,technical,number,chef,assist,position,position,captain,chef,deckhand,number,chef
aspect,captain,aspect,one,able,one,extremely,aspect,yacht,extremely,maintenance,one,one,one,extremely,able,yacht,extremely
equipment,role,equipment,fulfil,take,primary,important,equipment,crew,important,cleanliness,fulfil,fulfil,primary,important,take,crew,important
smoothly,specific,smoothly,responsibility,extra,duty,owner,smoothly,yacht,owner,manoeuvre,responsibility,responsibility,duty,owner,extra,yacht,owner
chief,duty,chief,unsure,responsibility,overall,guest,chief,crew,guest,boat,unsure,unsure,overall,guest,responsibility,crew,guest
engineer,vary,engineer,superyacht,charge,safe,remember,engineer,purser,remember,tender,superyacht,superyacht,safe,remember,charge,purser,remember
advanced,different,advanced,crew,deckhand,man,food,advanced,require,food,bosun,crew,crew,man,food,deckhand,require,food
knowledge,yacht,knowledge,position,deck,operation,regardless,knowledge,chief,regardless,responsible,position,position,operation,regardless,deck,chief,regardless
engineering,responsibility,engineering,onboard,operation,yacht,size,engineering,stewardess,size,maintenance,onboard,onboard,yacht,size,operation,stewardess,size
board,include,board,check,likely,entail,yacht,board,assumes,yacht,exterior,check,check,entail,yacht,likely,assumes,yacht
expert,safe,expert,superyacht,spend,take,head,expert,responsibility,head,yacht,superyacht,superyacht,take,head,spend,responsibility,head
technical,man,technical,crew,deal,ultimate,chef,technical,highly,chef,keep,crew,crew,ultimate,chef,deal,highly,chef
troubleshoot,yacht,troubleshoot,agency,time,responsibility,responsible,troubleshoot,administrative,responsible,pristine,agency,agency,responsibility,responsible,time,administrative,responsible
experience,oversee,experience,generally,guest,vessel,gallery,experience,position,gallery,condition,generally,generally,vessel,gallery,guest,position,gallery
able,manage,able,eto,owner,yacht,chef,able,require,chef,time,eto,eto,yacht,chef,owner,require,chef
prevent,crew,prevent,knowledge,board,crew,superyacht,prevent,strong,superyacht,responsibility,knowledge,knowledge,crew,superyacht,board,strong,superyacht
malfunction,operation,malfunction,handle,therefore,owner,usually,malfunction,background,usually,deckhand,handle,handle,owner,usually,therefore,background,usually
multitask,maintenance,multitask,av,positive,guest,previous,multitask,area,previous,include,av,av,guest,previous,positive,area,previous
chief,list,chief,skill,attitude,yacht,experience,chief,service,experience,cleanliness,skill,skill,yacht,experience,attitude,service,experience
engineer,administrative,engineer,responsibility,keen,captain,hotel,engineer,administration,hotel,maintenance,responsibility,responsibility,captain,hotel,keen,administration,hotel
work,safety,work,daily,eye,hold,restaurant,work,crew,restaurant,yacht,daily,daily,hold,restaurant,eye,crew,restaurant
maintain,duty,maintain,maintenance,detail,responsibility,resort,maintain,management,resort,wash,maintenance,maintenance,responsibility,resort,detail,management,resort
aspect,board,aspect,electronic,service,various,cruise,aspect,purser,cruise,down,electronic,electronic,various,cruise,service,purser,cruise
mechanical,regularly,mechanical,computer,paramount,area,line,mechanical,responsible,line,painting,computer,computer,area,line,paramount,responsible,line
electrical,take,electrical,audio,bosun,personnel,hold,electrical,operation,hold,varnish,audio,audio,personnel,hold,bosun,operation,hold
operation,bridge,operation,visual,normally,management,health,operation,interior,health,fibreglass,visual,visual,management,health,normally,interior,health
ensure,watch,ensure,communication,tender,shipyard,standard,ensure,department,standard,restoration,communication,communication,shipyard,standard,tender,department,standard
plan,responsible,plan,equipment,driver,project,certification,plan,include,certification,polish,equipment,equipment,project,certification,driver,include,certification
maintenance,majority,maintenance,ensure,know,management,vast,maintenance,inventory,vast,finish,ensure,ensure,management,vast,know,inventory,vast
take,yacht,take,run,inside,legal,knowledge,take,purchasing,knowledge,carpentry,run,run,legal,knowledge,inside,purchasing,knowledge
place,passage,place,efficiently,tender,regulatory,produce,place,provision,produce,sand,efficiently,efficiently,regulatory,produce,tender,provision,produce
charge,planning,charge,large,toy,compliance,diet,charge,accounting,diet,etc,large,large,compliance,diet,toy,accounting,diet
majority,navigation,majority,yacht,operate,accounting,allergy,majority,organise,allergy,occasion,yacht,yacht,accounting,allergy,operate,organise,allergy
service,first,service,likely,normally,achieve,hygiene,service,guest,hygiene,assist,likely,likely,achieve,hygiene,normally,guest,hygiene
repair,officer,repair,system,oversee,owner,food,repair,activity,food,help,system,system,owner,food,oversee,activity,food
work,chief,work,numerous,activity,objective,safety,work,closely,safety,interior,numerous,numerous,objective,safety,activity,closely,safety
liaise,officer,liaise,radio,passerelle,generally,storage,liaise,guest,storage,galley,radio,radio,generally,storage,passerelle,guest,storage
