2nd_Engineer,2nd_Officer,3rd_Engineer,AVIT,Bosun,Captain,Chef,Chief_Engineer,Chief_Steward,Crew_Chef,Deckhand,ETO,Electrician,First_Officer,Head_Chef,Lead_Deckhand,Purser,SOUS_2nd_Chef
chief,first,chief,depend,yacht,top,interior,chief,purser,interior,deckhand,depend,depend,top,interior,yacht,purser,interior
engineer,officer,engineer,size,crew,hierarchy,department,engineer,tends,department,encompass,size,size,hierarchy,department,crew,tends,department
engineering,chief,engineering,yacht,position,superyacht,yacht,engineering,found,yacht,large,yacht,yacht,superyacht,yacht,position,found,yacht
department,mate,department,hire,bosun,crew,crew,department,large,crew,array,hire,hire,crew,crew,bosun,large,crew
technical,right,technical,separate,experienced,position,job,technical,yacht,job,duty,separate,separate,position,job,experienced,yacht,job
aspect,hand,aspect,individual,deckhand,onboard,head,aspect,large,head,responsibility,individual,individual,onboard,head,deckhand,large,head
equipment,man,equipment,position,extra,captain,chef,equipment,number,chef,assist,position,position,captain,chef,extra,number,chef
smoothly,captain,smoothly,one,responsibility,one,extremely,smoothly,yacht,extremely,maintenance,one,one,one,extremely,responsibility,yacht,extremely
chief,role,chief,fulfil,charge,primary,owner,chief,crew,owner,cleanliness,fulfil,fulfil,primary,owner,charge,crew,owner
engineer,specific,engineer,responsibility,deckhand,duty,guest,engineer,yacht,guest,manoeuvre,responsibility,responsibility,duty,guest,deckhand,yacht,guest
knowledge,duty,knowledge,unsure,deck,overall,remember,knowledge,crew,remember,boat,unsure,unsure,overall,remember,deck,crew,remember
engineering,vary,engineering,superyacht,operation,safe,food,engineering,purser,food,tender,superyacht,superyacht,safe,food,operation,purser,food
board,different,board,crew,spend,man,size,board,require,size,bosun,crew,crew,man,size,spend,require,size
expert,yacht,expert,position,deal,operation,yacht,expert,chief,yacht,maintenance,position,position,operation,yacht,deal,chief,yacht
technical,responsibility,technical,onboard,guest,yacht,head,technical,stewardess,head,exterior,onboard,onboard,yacht,head,guest,stewardess,head
troubleshoot,include,troubleshoot,check,owner,entail,chef,troubleshoot,responsibility,chef,yacht,check,check,entail,chef,owner,responsibility,chef
experience,safe,experience,superyacht,board,take,gallery,experience,administrative,gallery,keep,superyacht,superyacht,take,gallery,board,administrative,gallery
prevent,man,prevent,crew,therefore,ultimate,chef,prevent,position,chef,pristine,crew,crew,ultimate,chef,therefore,position,chef
malfunction,yacht,malfunction,agency,positive,responsibility,superyacht,malfunction,require,superyacht,condition,agency,agency,responsibility,superyacht,positive,require,superyacht
multitask,oversee,multitask,generally,attitude,vessel,usually,multitask,strong,usually,time,generally,generally,vessel,usually,attitude,strong,usually
chief,manage,chief,eto,keen,yacht,previous,chief,background,previous,responsibility,eto,eto,yacht,previous,keen,background,previous
engineer,crew,engineer,knowledge,eye,crew,experience,engineer,area,experience,deckhand,knowledge,knowledge,crew,experience,eye,area,experience
maintain,operation,maintain,handle,detail,owner,hotel,maintain,service,hotel,include,handle,handle,owner,hotel,detail,service,hotel
aspect,maintenance,aspect,av,service,guest,restaurant,aspect,administration,restaurant,cleanliness,av,av,guest,restaurant,service,administration,restaurant
mechanical,administrative,mechanical,skill,paramount,yacht,resort,mechanical,crew,resort,maintenance,skill,skill,yacht,resort,paramount,crew,resort
electrical,safety,electrical,responsibility,bosun,captain,cruise,electrical,management,cruise,yacht,responsibility,responsibility,captain,cruise,bosun,management,cruise
operation,duty,operation,daily,normally,hold,line,operation,purser,line,wash,daily,daily,hold,line,normally,purser,line
ensure,board,ensure,maintenance,tender,responsibility,hold,ensure,operation,hold,down,maintenance,maintenance,responsibility,hold,tender,operation,hold
plan,regularly,plan,electronic,driver,various,health,plan,interior,health,painting,electronic,electronic,various,health,driver,interior,health
maintenance,bridge,maintenance,computer,know,area,standard,maintenance,department,standard,varnish,computer,computer,area,standard,know,department,standard
place,watch,place,audio,inside,personnel,certification,place,include,certification,fibreglass,audio,audio,personnel,certification,inside,include,certification
charge,majority,charge,visual,tender,management,vast,charge,inventory,vast,restoration,visual,visual,management,vast,tender,inventory,vast
majority,yacht,majority,communication,toy,shipyard,knowledge,majority,purchasing,knowledge,polish,communication,communication,shipyard,knowledge,toy,purchasing,knowledge
service,passage,service,equipment,operate,project,produce,service,provision,produce,finish,equipment,equipment,project,produce,operate,provision,produce
repair,planning,repair,run,normally,management,diet,repair,accounting,diet,carpentry,run,run,management,diet,normally,accounting,diet
liaise,navigation,liaise,efficiently,oversee,legal,allergy,liaise,organise,allergy,sand,efficiently,efficiently,legal,allergy,oversee,organise,allergy
subcontractor,first,subcontractor,large,activity,regulatory,hygiene,subcontractor,guest,hygiene,occasion,large,large,regulatory,hygiene,activity,guest,hygiene
shore,officer,shore,yacht,passerelle,compliance,food,shore,activity,food,assist,yacht,yacht,compliance,food,passerelle,activity,food
engineer,chief,engineer,system,serve,accounting,safety,engineer,closely,safety,help,system,system,accounting,safety,serve,closely,safety
ensure,officer,ensure,numerous,security,achieve,storage,ensure,guest,storage,interior,numerous,numerous,achieve,storage,security,guest,storage
relevant,stand,relevant,radio,ensure,owner,ability,relevant,crew,ability,galley,radio,radio,owner,ability,ensure,crew,ability
operation,captain,operation,radar,guest,objective,provision,operation,assist,provision,department,radar,radar,objective,provision,guest,assist,provision
run,absence,run,telephone,embark,generally,budget,run,captain,budget,deckhand,telephone,telephone,generally,budget,embark,captain,budget
